JENIS KELAMIN;STATUS MAHASISWA;UMUR;STATUS NIKAH;IPS 1;IPS 2;IPS 3;IPS 4;IPS 5;IPS 6;IPS 7;IPS 8;IPK ;STATUS KELULUSAN
2;2;27;1;2.81;3.11;3.19;3.08;2.88;3.69;3.12;0;3.27;TERLAMBAT
2;2;28;1;2.6;2.91;2.68;2.68;2.36;3.14;3.22;0;2.92;TERLAMBAT
1;1;29;1;2.76;2.95;2.43;2.27;2.31;2.97;2.61;0;2.93;TERLAMBAT
1;1;25;1;2.86;3.43;2.92;2.82;2.27;2.97;2.36;0.88;2.9;TERLAMBAT
2;1;32;1;3.02;3.63;3.42;3.37;3.15;3.27;3.63;0;3.36;TEPAT
1;2;27;1;2.57;3.39;2.6;2.73;2.87;2.76;2.79;1;3;TERLAMBAT
2;1;27;1;3.31;3.6;3.67;3.57;3.56;3.87;3.78;0;3.6;TEPAT
2;2;25;1;3;3.23;2.88;3.09;2.94;3.61;3.33;0;3.22;TERLAMBAT
1;1;30;1;2.48;2.48;2.23;2.09;1.45;2.42;2.05;2.58;2.63;TEPAT
2;2;32;1;2.52;2.8;2.59;2.5;2.32;3.14;3;0;2.9;TERLAMBAT
2;2;27;1;2.76;3.18;3.13;2.75;2.8;3.16;3.05;0;3.06;TERLAMBAT
2;2;27;2;2.57;3.16;3.06;2.88;2.3;3;3.23;0;3.1;TERLAMBAT
1;2;26;1;2.6;3.32;3.44;2.79;2.57;3;3.26;1;3.16;TERLAMBAT
1;2;50;1;2.67;2.18;2;2.32;2.05;2.38;1.63;1.44;2.32;TERLAMBAT
2;2;27;1;2.86;2.82;3.2;2.58;2.23;3.1;3.19;0;3.02;TERLAMBAT
1;2;29;1;3;3.5;2.69;2.36;2.16;2.55;1.91;0;2.67;TERLAMBAT
1;2;30;1;2.05;1.68;2.24;2.09;1.59;2.47;2.17;2.29;2.33;TERLAMBAT
1;2;27;1;2.55;2.3;2.02;2.32;2.05;2.95;2.64;1.46;2.63;TERLAMBAT
2;2;27;1;3.24;3.58;3.25;3.43;3.33;3.7;3.23;0;3.42;TERLAMBAT
2;1;25;1;2.07;2.7;2.32;2.36;1.98;2.47;1.86;1.2;2.38;TERLAMBAT
1;1;28;1;2.76;3.11;2.75;2.59;2.63;2.86;2.74;0;2.9;TERLAMBAT
1;1;26;1;2.9;3.55;3.38;3.54;3.23;3.39;3.53;0;3.39;TEPAT
1;1;31;1;2.76;1.09;2.29;0.95;1.53;2.38;1.11;0;1.71;TERLAMBAT
1;2;26;1;2.29;2.14;1.84;1.67;1.31;2;1.64;2.69;2.31;TERLAMBAT
1;2;27;1;2.55;2.16;2.14;2.27;1.81;2.03;2.16;2.17;2.62;TERLAMBAT
1;2;27;1;2.17;2.66;2.55;2;1.61;2.88;2.45;1.47;2.76;TERLAMBAT
1;1;29;2;2.83;3.61;3.18;3.23;3.02;3.2;3.18;0;3.3;TEPAT
1;2;27;1;2.26;1.86;0.32;0;0.2;0;1.67;1.72;1.39;TERLAMBAT
1;1;27;1;2.38;2.7;3.02;3;3.26;3;0.62;0.35;2.63;TEPAT
1;1;28;1;2.69;2.5;3.07;2.83;2.52;3.14;3.14;0;2.79;TERLAMBAT
2;2;26;1;2.86;2.7;2.89;2.73;2.41;3.19;2.07;1.21;2.92;TERLAMBAT
1;2;29;1;2.33;2.75;2.36;2.18;1.73;2.64;2.25;2.28;2.49;TERLAMBAT
1;2;25;1;2.45;1.43;2.16;0.27;0.44;1.28;0.66;0.29;1.82;TERLAMBAT
