JENIS KELAMIN;STATUS MAHASISWA;UMUR;STATUS NIKAH;IPS 1;IPS 2;IPS 3;IPS 4;IPS 5;IPS 6;IPS 7;IPS 8;IPK ;STATUS KELULUSAN
1;1;31;1;2.86;2.98;3.39;3.27;2.98;2.85;2.12;;3.21;TEPAT
1;1;25;1;2.98;3.18;3.73;3.42;3.5;3.47;2.58;3.5;3.52;TEPAT
1;1;24;1;3.26;3.33;3.73;3.41;3.46;2.94;2.65;3;3.47;TEPAT
2;1;23;1;3.21;3.39;3.41;3.43;3.37;3.25;3.16;0;3.22;TEPAT
2;1;24;1;3.57;3.54;3.5;3.39;3.67;3.15;1.5;0;3.25;TEPAT
2;1;25;1;2.83;2.59;2.95;3.14;2.94;3.14;3.34;2.75;3.02;TEPAT
2;1;25;1;3.29;3.19;2.94;3.27;3.29;2.75;3.43;0;3.08;TEPAT
1;1;22;1;3.02;3.42;3.81;3.61;3.35;3.43;3.46;4;3.49;TEPAT
1;1;24;1;2.55;2.57;2.57;2.82;2.64;2.33;2.34;1.8;2.86;TEPAT
2;1;28;1;2.36;2.48;2.27;2.68;2.59;2.36;2.61;3;2.72;TEPAT
2;1;23;1;2.4;2.64;2.36;2.95;2.84;2.68;2.77;2.92;2.96;TEPAT
1;1;23;1;2.74;2.86;2.61;2.95;2.86;2.68;3.16;2.5;2.92;TEPAT
2;1;24;1;2.95;2.84;2.2;2.77;3.16;2.53;2.95;2.9;3.07;TEPAT
2;1;24;1;3.1;2.89;2.59;3.05;3.02;2.95;2.86;3;3.11;TEPAT
1;1;25;1;3.07;2.77;3;3.05;2.96;3.42;2.25;3;3.09;TEPAT
1;1;25;1;3.4;2.9;3.34;3.54;3.19;3.81;2.58;3;3.35;TEPAT
1;1;24;1;2.55;2.55;2.59;3.09;2.79;3.63;2.4;3.5;2.99;TEPAT
1;1;24;1;2.33;2.5;2.3;2.59;2.68;2.33;1.28;1.5;2.62;TEPAT
2;1;26;1;2.93;2.89;2.93;2.86;3.16;2.3;2.65;0.67;2.79;TEPAT
1;1;23;1;2.83;3;3.55;2.82;3.14;2.73;3.3;3;3.17;TEPAT
2;1;23;1;2.93;3.05;2.8;3.09;3.11;2.98;3.22;3;3.19;TEPAT
2;1;23;1;2.19;2.45;1.82;2.5;1.95;2.56;1.64;0.71;2.46;TEPAT
1;1;23;1;2.71;2.41;2.8;2.95;3.18;3.1;2.5;3;3.03;TEPAT
1;1;23;1;2.98;2.43;2.52;2.86;2.2;2.83;2.73;0;2.62;TEPAT
1;1;25;1;2.36;2;2.07;2.27;2.52;2.38;2.41;2.6;2.73;TEPAT
2;1;23;1;2.4;2.66;2.55;2.59;2.82;2.65;3;2.25;2.85;TEPAT
1;1;23;1;2.62;2.43;2.11;2.32;2.48;2.33;1.43;1.5;2.53;TEPAT
1;1;24;1;3.05;2.94;3.57;2.93;3.16;2.9;3.3;3;3.24;TEPAT
2;1;24;1;2.4;2.57;2.3;2.82;2.64;2.77;3.02;2.5;2.93;TEPAT
1;1;24;1;2.48;2.32;2.18;2.36;2.32;2.45;2.23;2.1;2.73;TEPAT
1;1;24;1;2.55;2.5;2.07;2.68;2.64;2.68;2.64;2.75;2.83;TEPAT
2;1;23;1;3.26;3.27;3.13;3.17;3.19;3.4;2.23;3;3.28;TEPAT
1;1;23;1;2.6;2.52;2.3;2.77;2.55;2.48;2;4;2.52;TEPAT
1;1;27;1;2.86;2.41;2.55;3;2.68;2.58;3.02;3;2.98;TEPAT
2;1;23;1;3.21;3.07;3;3.41;3.15;3.31;3.32;0;3.09;TEPAT
1;1;23;1;2.98;2.2;2.16;1.8;2.11;1;1.19;0.79;2.12;TEPAT
1;1;23;1;2.6;1.93;2.37;2.09;2.41;2.36;1.26;1.6;2.41;TEPAT
1;1;25;1;2.74;2.64;2.39;2.82;2.7;3.06;2.7;3.5;2.9;TEPAT
1;1;22;1;2.6;2.2;2.27;2.55;2.45;2.39;2.55;0.75;2.7;TEPAT
1;1;22;1;2.43;2.55;2.64;2.68;2.68;2.68;2.67;3;2.9;TEPAT
2;1;23;1;2.93;2.89;2.7;2.77;2.75;3;2.93;2.5;3.09;TEPAT
2;1;23;1;2.83;2.91;2.95;2.86;2.7;3.06;2.92;3;3;TEPAT
1;1;23;1;3.31;2.96;3.48;3.26;3.15;3.33;3.68;0;3.32;TEPAT
1;1;23;1;2.5;2.08;2.25;2.27;2.21;2.16;2.86;2.89;2.8;TEPAT
1;1;26;1;2.76;2.86;2.57;2.91;2.84;3.08;3.35;0;2.97;TEPAT
2;1;24;1;2.17;2.66;2.86;2.86;2.64;2.83;1.57;0;2.57;TEPAT
1;1;23;1;1.79;2.24;2.02;2.45;2.36;2.43;2.8;2.8;2.72;TEPAT
1;1;40;1;2.83;2.64;2.89;3.14;2.85;3.42;3.03;3.5;2.94;TEPAT
1;1;23;1;2.26;2.61;2.34;2.86;2.23;2.75;2.39;3.69;2.75;TEPAT
1;1;23;1;2.55;2.75;2.64;2.59;2.8;2.75;1.14;0;2.46;TEPAT
1;1;23;1;3;2.89;3.25;2.83;2.86;2.97;1.31;0;2.88;TEPAT
1;1;24;1;2.5;2.84;3.11;3.04;2.75;2.83;2.32;3;3.02;TEPAT
2;1;24;1;3.57;3.23;2.38;3.59;3.56;2.9;3.73;3;3.52;TEPAT
1;1;22;1;2.52;2.7;2.73;3.27;2.77;2.53;3.25;3;2.99;TEPAT
2;1;24;1;2.55;2.34;2.23;2.36;1.66;1.56;2.14;2.08;2.39;TEPAT
1;1;24;1;2.71;3.05;3.04;3.14;2.93;3;3.63;0;3.13;TEPAT
1;1;24;1;2.9;2.89;3.25;3.13;3.4;3.28;3.25;0;3.36;TEPAT
2;1;23;1;3.33;3.1;3.27;3.61;3.44;3.4;2.25;0;2.83;TEPAT
1;1;24;1;3.15;2.67;2.68;2.36;2.25;3.03;2.86;0;2.89;TERLAMBAT
1;1;27;1;2.79;2.75;3.02;2.75;2.66;2.17;3.28;1;3.5;TEPAT
2;1;22;1;3.1;3.38;3.6;3.83;3.17;3.7;2.6;3.5;3.05;TEPAT
1;1;23;1;2.88;2.8;3.11;3.09;3.16;3.05;3.36;3;2.97;TEPAT
2;1;24;1;2.55;3.07;2.68;3;3.25;3.08;3.18;0;;TEPAT
1;1;25;1;2.57;3.02;3.13;3.25;3.29;3.58;1.91;4;3.24;TEPAT
1;1;23;1;2.57;3.02;3.13;3.25;3.29;3.58;1.91;4;3.53;TEPAT
1;1;23;1;3.05;3.19;3.52;3.57;3.25;3.79;2.5;4;;TEPAT
1;1;24;1;3.19;3.4;2.94;3.14;2.61;2.33;2;0;3.08;TEPAT
2;1;23;1;2.71;2.75;2.43;3.14;2.73;2.85;2.9;1.8;3.14;TEPAT
2;1;23;1;3.29;3.71;3.52;3.52;3.15;2.91;1.29;3.5;3.24;TEPAT
2;1;24;1;3.05;2.98;3.25;3.14;3.19;2.7;3.41;3.5;3.28;TEPAT
1;1;22;1;2.86;2.86;3.25;3.25;3.31;3.48;2.43;3;3.28;TEPAT
1;1;23;1;3.19;3.29;2.77;2.86;3.05;3;3.56;2.4;2.86;TEPAT
2;1;24;1;3.4;3.23;2.52;2.91;2.81;2.41;2.03;0.25;3.16;TEPAT
1;1;24;1;3.19;3.19;3.29;3.35;2.69;3.22;2.08;3;1.64;TEPAT
1;1;28;1;3.24;3.27;3.5;3.22;2.77;2.94;2.25;3;3.02;TEPAT
2;1;26;1;2.79;3.09;3.08;2.96;2.59;3.19;3.38;3;;TEPAT
2;1;23;1;2.05;3.52;3.5;3.85;3.78;3.63;0;0;3.63;TEPAT
2;1;25;1;3.26;3.06;3.27;3.52;2.77;3.55;2.64;3.5;3.37;TEPAT
1;1;24;1;3.26;3.06;3.27;3.52;2.77;3.55;2.64;3.5;2.93;TEPAT
1;1;23;1;2.9;2.84;2.39;3.18;2.85;3.25;3.15;0;2.82;TEPAT
1;1;23;1;2.9;2.98;2.39;2.91;2.93;2.63;1.64;0;3.2;TEPAT
1;1;26;1;3.29;3.31;2.88;3.36;3.02;3.39;3.31;0;3.32;TEPAT
2;1;24;1;3.26;3.38;3.06;3.68;3.48;3.47;3.5;0;3.16;TEPAT
1;1;24;1;3.07;3.04;3.1;3.15;3;3.06;3.43;0;2.65;TEPAT
1;1;26;1;2.98;2.66;2.7;2.73;2.8;3.33;2.43;0;2.83;TEPAT
2;1;32;1;2.98;2.66;2.7;2.73;2.8;3.33;2.43;0;1.9;TEPAT
1;1;23;1;3.02;2.88;2.45;2.14;3.24;3.41;3.2;4;3.1;TEPAT
2;1;23;1;3.02;2.88;2.45;2.14;3.24;3.41;3.2;4;2.81;TEPAT
2;1;25;1;2.9;3.07;2.44;2.41;2.4;2.75;2.08;2.8;3.13;TEPAT
1;1;24;1;2.79;2.73;2.48;2.45;2.95;3.48;3.91;0;2.87;TEPAT
1;1;25;1;2.98;3;2.73;3;2.48;2.75;2.21;0;0.87;TEPAT
1;1;24;1;3.05;3.23;3.42;3.43;3.25;3.09;2.42;3.5;3.13;TEPAT
1;1;23;1;2.83;2.91;2.52;2.86;2.91;3.5;3.19;3;3.13;TEPAT
1;1;23;1;2.76;3.18;3.06;2.88;3.34;3.25;2.53;4;2.92;TEPAT
1;2;23;1;2.74;2.68;2.36;2.55;2.11;2.5;1.35;0;3.09;TERLAMBAT
1;1;25;1;2.86;3.14;3.27;3.38;3.21;2.81;3.03;0;0.92;TEPAT
1;1;24;1;3.07;3.21;2.94;3.36;3.15;2.77;3.47;0;3.15;TEPAT
2;1;24;1;2.88;2.77;2.61;3.23;2.71;3.45;3.11;3;3.31;TEPAT
2;1;23;1;2.64;2.59;3.09;3.14;2.54;3.31;1.63;3.5;2.88;TEPAT
2;1;24;1;2.83;3.16;3.25;3.21;3.02;3.31;2.25;3;3.3;TEPAT
2;1;23;1;3.1;3.04;3.17;2.91;3.05;3.21;3.54;0;3.28;TEPAT
1;1;23;1;3.05;3.1;3.33;3.17;3.17;3.26;2.33;3.5;2.79;TEPAT
1;1;23;1;2.29;2.89;2.48;3.14;2.9;2.4;2.73;0;2.85;TEPAT
1;1;23;1;1.98;2.5;2.14;2.77;2.61;2.93;2.82;2.5;0.99;TEPAT
2;2;23;1;2.74;2.75;2.55;3;2.98;2.8;3.14;3;2.97;TEPAT
2;1;23;1;2.74;2.75;2.55;3;2.98;2.8;3.14;3;3.03;TEPAT
2;1;23;1;3.02;2.94;3.25;2.87;3;2.94;3.09;3;3.16;TEPAT
1;1;23;1;3.1;3.06;3;3.23;2.79;3;2.41;3;2.16;TEPAT
